requestday,pagetype,date,bucket,count
1406419200,Page2,1406435400,1625.0,2
1406419200,Page2,1406435400,1675.0,2
1406419200,Page2,1406435400,1700.0,1
1406419200,Page2,1406435400,1725.0,3
1406419200,Page2,1406435400,1750.0,3
1406419200,Page2,1406435400,1775.0,2
1406419200,Page2,1406435400,1800.0,1
1406419200,Page2,1406435400,1825.0,3
1406419200,Page2,1406435400,1850.0,2
1406419200,Page2,1406435400,1875.0,1
1406419200,Page2,1406435400,1900.0,4
1406419200,Page2,1406435400,1925.0,1
1406419200,Page2,1406435400,1950.0,1
1406419200,Page2,1406435400,1975.0,1
1406419200,Page2,1406435400,2000.0,2
1406419200,Page2,1406435400,2025.0,2
1406419200,Page2,1406435400,2050.0,2
1406419200,Page2,1406435400,2100.0,3
1406419200,Page2,1406435400,2125.0,1
1406419200,Page2,1406435400,2200.0,2
1406419200,Page2,1406435400,2250.0,2
1406419200,Page2,1406435400,2275.0,1
1406419200,Page2,1406435400,2325.0,1
1406419200,Page2,1406435400,2350.0,1
1406419200,Page2,1406435400,2375.0,1
1406419200,Page2,1406435400,2425.0,1
1406419200,Page2,1406435400,2475.0,2
1406419200,Page2,1406435400,2500.0,2
1406419200,Page2,1406435400,2525.0,3
1406419200,Page2,1406435400,2575.0,2
1406419200,Page2,1406435400,2600.0,3
1406419200,Page2,1406435400,2625.0,1
1406419200,Page2,1406435400,2700.0,1
1406419200,Page2,1406435400,2725.0,6
1406419200,Page2,1406435400,2775.0,3
1406419200,Page2,1406435400,2825.0,2
1406419200,Page2,1406435400,2850.0,4
1406419200,Page2,1406435400,2900.0,2
1406419200,Page2,1406435400,2925.0,1
1406419200,Page2,1406435400,2975.0,3
1406419200,Page2,1406435400,3000.0,2
1406419200,Page2,1406435400,3025.0,1
1406419200,Page2,1406435400,3050.0,1
1406419200,Page2,1406435400,3100.0,1
1406419200,Page2,1406435400,3200.0,1
1406419200,Page2,1406435400,3225.0,1
1406419200,Page2,1406435400,3275.0,1
1406419200,Page2,1406435400,3325.0,1
1406419200,Page2,1406435400,3350.0,2
1406419200,Page2,1406435400,3375.0,1
1406419200,Page2,1406435400,3400.0,1
1406419200,Page2,1406435400,3425.0,1
1406419200,Page2,1406435400,3450.0,2
1406419200,Page2,1406435400,3500.0,2
1406419200,Page2,1406435400,3525.0,2
1406419200,Page2,1406435400,3575.0,2
1406419200,Page2,1406435400,3600.0,1
1406419200,Page2,1406435400,3625.0,2
1406419200,Page2,1406435400,3675.0,1
1406419200,Page2,1406435400,3725.0,1
1406419200,Page2,1406435400,3775.0,2
1406419200,Page2,1406435400,3800.0,1
1406419200,Page2,1406435400,3950.0,1
1406419200,Page2,1406435400,4075.0,1
1406419200,Page2,1406435400,4175.0,1
1406419200,Page2,1406435400,4225.0,2
1406419200,Page2,1406435400,4350.0,1
1406419200,Page2,1406435400,4450.0,1
1406419200,Page2,1406435400,4600.0,1
1406419200,Page2,1406435400,4650.0,1
1406419200,Page2,1406435400,4725.0,1
1406419200,Page2,1406435400,4875.0,1
